Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2000-01-01,93.20471954345703,145.75,148.25,137.25,148.25,42725700
2000-01-08,93.98409271240234,146.96875,147.46875,142.875,146.25,32748700
2000-01-15,92.36537170410156,144.4375,147.0,143.8125,145.34375,24691300
2000-01-22,86.88983154296875,135.875,145.84375,135.53125,145.65625,45836400
2000-01-29,91.18635559082031,142.59375,144.0,135.0,135.8125,38317400
2000-02-05,88.68834686279297,138.6875,144.5625,138.03125,142.5625,35834100
2000-02-12,86.53012084960938,135.3125,141.21875,134.625,139.78125,45445900
2000-02-19,85.26114654541016,133.328125,137.46875,133.09375,135.1875,56469300
2000-02-26,90.24711608886719,141.125,141.71875,132.71875,133.375,48878800
2000-03-04,89.60765838623047,140.125,142.0,135.03125,140.8125,57263100
2000-03-11,93.96417236328125,146.9375,148.0,135.6875,136.6875,64979500
2000-03-18,98.45027923583984,153.5625,155.75,144.5,146.875,57492300
2000-03-25,96.40675354003906,150.375,153.78125,147.125,153.375,40621500
2000-04-01,97.08796691894531,151.4375,153.0,141.390625,150.125,48883000
2000-04-08,87.19082641601562,136.0,153.109375,133.5,151.75,71239600
2000-04-15,92.19952392578125,143.8125,145.125,134.6875,135.1875,50078700
2000-04-22,93.02088165283203,145.09375,148.75,140.5,141.5,59044900
2000-04-29,92.01918029785156,143.53125,148.484375,139.78125,146.5625,43196900
2000-05-06,91.55838775634766,142.8125,143.46875,137.75,142.75,34030200
2000-05-13,90.47647857666016,141.125,147.71875,140.40625,142.75,29384700
2000-05-20,88.4730224609375,138.0,141.8125,136.5,141.25,42993000
2000-05-27,94.78395080566406,147.84375,149.09375,139.46875,140.0,29343000
2000-06-03,93.9825668334961,146.59375,148.21875,145.625,147.46875,25584900
2000-06-10,93.9825668334961,146.59375,148.875,144.625,146.96875,28107200
2000-06-17,92.77804565429688,144.375,149.15625,143.875,146.46875,27055700
2000-06-24,93.36043548583984,145.28125,146.984375,143.515625,145.375,28474400
2000-07-01,95.16779327392578,148.09375,148.78125,144.21875,145.4375,13182800
2000-07-08,97.1960220336914,151.25,151.25,147.15625,147.875,24828600
2000-07-15,94.90670776367188,147.6875,151.984375,147.6875,150.984375,27173000
2000-07-22,91.31207275390625,142.09375,148.859375,141.515625,148.125,36330200
2000-07-29,94.06326293945312,146.375,146.71875,142.0625,142.9375,24945600
2000-08-05,94.72599029541016,147.40625,149.21875,145.5625,146.71875,22485100
2000-08-12,96.19193267822266,149.6875,150.4375,147.0625,147.78125,24001500
2000-08-19,97.1960220336914,151.25,151.625,149.28125,150.03125,18290300
2000-08-26,97.99931335449219,152.5,153.59375,150.34375,151.25,21099700
2000-09-02,96.27224731445312,149.8125,152.203125,149.328125,151.875,15576700
2000-09-09,93.8222885131836,146.0,151.1875,146.0,149.75,23881000
2000-09-16,93.5949935913086,145.28125,146.96875,142.421875,146.375,31969200
2000-09-23,92.5279541015625,143.625,146.328125,142.125,145.9375,38584900
2000-09-30,90.87712097167969,141.0625,145.75,139.75,144.28125,35595700
2000-10-07,88.62226867675781,137.5625,141.3125,132.78125,141.3125,45074400
2000-10-14,90.13221740722656,139.90625,141.1875,130.15625,137.40625,40528800
2000-10-21,89.72953033447266,139.28125,141.9375,134.03125,139.9375,39287000
2000-10-28,91.9843978881836,142.78125,143.90625,138.15625,138.4375,41242300
2000-11-04,88.01829528808594,136.625,144.296875,136.53125,143.15625,34601900
2000-11-11,88.02842712402344,136.640625,140.109375,133.015625,135.625,47027100
2000-11-18,86.87076568603516,134.84375,136.375,132.125,135.75,22291300
2000-11-25,85.17965698242188,132.21875,136.6875,129.75,136.46875,37031000
2000-12-02,86.30705261230469,133.96875,139.46875,131.5,131.875,45573400
2000-12-09,84.37435150146484,130.96875,139.5625,130.5625,137.375,34242700
2000-12-16,84.61296081542969,130.9375,134.96875,125.53125,132.0625,51360700
