Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DJI,DJI,DJI,DJI,DJI,DJI
Date,,,,,,
1970-01-01,801.8099975585938,801.8099975585938,811.3099975585938,801.8099975585938,809.2000122070312,0
1970-01-08,787.1599731445312,787.1599731445312,802.0700073242188,787.1599731445312,802.0700073242188,0
1970-01-15,782.27001953125,782.27001953125,785.0399780273438,776.0700073242188,785.0399780273438,0
1970-01-22,758.8400268554688,758.8400268554688,786.0999755859375,758.8400268554688,786.0999755859375,0
1970-01-29,754.489990234375,754.489990234375,757.4600219726562,744.0599975585938,748.3499755859375,0
1970-02-05,757.3300170898438,757.3300170898438,757.3300170898438,746.6300048828125,750.260009765625,0
1970-02-12,756.7999877929688,756.7999877929688,756.7999877929688,747.4299926757812,755.6099853515625,0
1970-02-19,768.280029296875,768.280029296875,768.280029296875,754.4199829101562,757.9199829101562,0
1970-02-26,788.1500244140625,788.1500244140625,788.1500244140625,764.4500122070312,764.4500122070312,0
1970-03-05,778.1199951171875,778.1199951171875,787.5499877929688,778.1199951171875,787.5499877929688,0
1970-03-12,767.9500122070312,767.9500122070312,776.469970703125,765.0499877929688,776.469970703125,0
1970-03-19,790.1300048828125,790.1300048828125,790.1300048828125,763.5999755859375,764.97998046875,0
1970-03-26,792.0399780273438,792.0399780273438,792.0399780273438,784.6500244140625,791.0499877929688,0
1970-04-02,791.6400146484375,791.6400146484375,792.3699951171875,791.1799926757812,792.3699951171875,0
1970-04-09,782.5999755859375,782.5999755859375,792.5,780.5599975585938,792.5,0
1970-04-16,762.6099853515625,762.6099853515625,775.9400024414062,762.6099853515625,775.8699951171875,0
1970-04-23,737.3900146484375,737.3900146484375,750.5900268554688,724.3300170898438,750.5900268554688,0
1970-04-30,718.3900146484375,718.3900146484375,736.0700073242188,709.739990234375,736.0700073242188,0
1970-05-07,693.8400268554688,693.8400268554688,723.0700073242188,693.8400268554688,723.0700073242188,0
1970-05-14,676.5499877929688,676.5499877929688,702.8099975585938,676.5499877929688,684.7899780273438,0
1970-05-21,663.2000122070312,663.2000122070312,665.25,631.1599731445312,665.25,0
1970-05-28,713.8599853515625,713.8599853515625,713.8599853515625,684.1500244140625,684.1500244140625,0
1970-06-04,694.3499755859375,694.3499755859375,706.530029296875,694.3499755859375,706.530029296875,0
1970-06-11,704.6799926757812,704.6799926757812,706.260009765625,684.2100219726562,684.4199829101562,0
1970-06-18,692.2899780273438,692.2899780273438,720.4299926757812,692.2899780273438,712.6900024414062,0
1970-06-25,687.6400146484375,687.6400146484375,693.5900268554688,682.9099731445312,693.5900268554688,0
1970-07-02,682.0900268554688,682.0900268554688,689.1400146484375,669.3599853515625,689.1400146484375,0
1970-07-09,711.6599731445312,711.6599731445312,711.6599731445312,692.77001953125,692.77001953125,0
1970-07-16,724.6699829101562,724.6699829101562,735.0800170898438,722.0700073242188,723.4400024414062,0
1970-07-23,735.5599975585938,735.5599975585938,735.5599975585938,730.0800170898438,732.6799926757812,0
1970-07-30,724.8099975585938,724.8099975585938,734.72998046875,722.9600219726562,734.72998046875,0
1970-08-06,710.6400146484375,710.6400146484375,725.7000122070312,710.6400146484375,722.8200073242188,0
