Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPX,SPX,SPX,SPX,SPX,SPX
Date,,,,,,
2000-03-02,2.498339891433716,2.498339891433716,2.498339891433716,1.7488399744033813,1.7488399744033813,2562
2000-03-03,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,80
2000-03-06,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,240
2000-03-07,4.372089862823486,4.372089862823486,4.372089862823486,4.372089862823486,4.372089862823486,0
2000-03-08,4.372089862823486,4.372089862823486,4.372089862823486,4.372089862823486,4.372089862823486,0
2000-03-09,4.372089862823486,4.372089862823486,4.372089862823486,4.372089862823486,4.372089862823486,0
2000-03-10,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,400
2000-03-13,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,817
2000-03-14,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,801
2000-03-15,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,2001
2000-03-16,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,0
2000-03-17,1.998669981956482,1.998669981956482,1.998669981956482,1.8737499713897705,1.8737499713897705,440
2000-03-20,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-03-21,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-03-22,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-03-23,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,400
2000-03-24,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-03-27,1.4989999532699585,1.4989999532699585,3.122920036315918,1.4989999532699585,3.122920036315918,1327
2000-03-28,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0
2000-03-29,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0
2000-03-30,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0
2000-03-31,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0
2000-04-03,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0
2000-04-04,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0
2000-04-05,1.998669981956482,1.998669981956482,2.1235899925231934,1.998669981956482,2.1235899925231934,1001
2000-04-06,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-04-07,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-04-10,1.8737499713897705,1.8737499713897705,1.998669981956482,1.8737499713897705,1.998669981956482,2282
2000-04-11,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,0
2000-04-12,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,0
2000-04-13,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,801
2000-04-14,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,2402
2000-04-17,1.249169945716858,1.249169945716858,1.3740899562835693,1.249169945716858,1.3740899562835693,1681
2000-04-18,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0
2000-04-19,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0
2000-04-20,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0
2000-04-24,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0
2000-04-25,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1201
2000-04-26,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,600
2000-04-27,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-04-28,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-05-01,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-05-02,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-05-03,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-05-04,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-05-05,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,801
2000-05-08,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-05-09,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-05-10,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-05-11,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-05-12,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0
2000-05-15,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1041
2000-05-16,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,0
2000-05-17,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,0
2000-05-18,1.998669981956482,1.998669981956482,1.998669981956482,1.8737499713897705,1.8737499713897705,1241
2000-05-19,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-05-22,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-05-23,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-05-24,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-05-25,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-05-26,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-05-30,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-05-31,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0
2000-06-01,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,600
2000-06-02,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,0
2000-06-05,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,0
2000-06-06,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,0
2000-06-07,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,921
2000-06-08,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,0
2000-06-09,2.248500108718872,2.248500108718872,2.248500108718872,1.998669981956482,1.998669981956482,1614
2000-06-12,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0
2000-06-13,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0
2000-06-14,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0
2000-06-15,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0
2000-06-16,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0
2000-06-19,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0
2000-06-20,3.4976699352264404,3.4976699352264404,3.4976699352264404,3.4976699352264404,3.4976699352264404,80
2000-06-21,3.4976699352264404,3.4976699352264404,3.4976699352264404,3.4976699352264404,3.4976699352264404,0
2000-06-22,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,640
2000-06-23,2.8730900287628174,2.8730900287628174,2.8730900287628174,2.498339891433716,2.498339891433716,5916
